Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
"Wanton soup, with chye sim","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (436g),Main,,SideDish,Soup,21,20.06,13.95,12.64,1.74,#N/A,258.43,1783.24,111.13,77.28,70.02,258.43
Water chestnut drink,BEVERAGES,Non-alcoholic beverages,Bottle (500g),Drink,,Drinks,Cold Drinks,2,36,0,0,0,0,145,15.3,145.00,0.00,0.00,145.00
"Water, mineral, natural, unflavoured",BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,0,0,0,0,#N/A,0,26.4,0.00,0.00,0.00,0.00
"Water, plain",BEVERAGES,Non-alcoholic beverages,Cup (250g),Drink,,Drinks,Cold Drinks,2,0,0,0,0,#N/A,0,0,0.00,0.00,0.00,0.00
Watercress with pork ribs soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (456.9g),Side,,Vegetables,Vegetables,13,0,6.58,13.57,1.23,#N/A,115.97,1229.52,0.00,37.87,78.10,115.97
Watermelon,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Slice (119g),Side,,Drinks,Fruits/Juice,26,4,0.2,0.53,0.13,#N/A,24.69,2.67,20.88,1.04,2.77,24.69
Watermelon and pineapple juice,BEVERAGES,Non-alcoholic beverages,Cup (416g),Drink,,Drinks,Fruits/Juice,26,14.98,0,0.83,0.42,0,62.4,4.08,59.12,0.00,3.28,62.40
Weet-Bix (original),CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Piece (15g),Breakfast,,Meat,Cereal,20,10.05,0.21,1.8,1.58,#N/A,52.8,42.75,44.00,0.92,7.88,52.80
Wheatgrass drink,BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Cold Drinks,2,21,0,0.25,0,#N/A,85,7.45,84.00,0.00,1.00,85.00
"White Chip Macademia Nut, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,Meat,Sandwich,18,28.98,11,1.8,0.99,#N/A,220.05,160.2,152.63,57.94,9.48,220.05
"Winglets, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (73g),Side,KFC,Meat,Chicken,4,9.65,9.96,7.77,#N/A,0.01,160.34,235.79,56.51,58.33,45.50,160.34
Xiao wan mian,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (768g),Main,,Meat,Noodles,12,79.49,23.35,33.33,7.3,#N/A,657.72,2396.39,383.95,112.78,160.99,657.72
Yaki udon with chicken,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (445g),Main,,Meat,Noodles,12,52.07,23.85,23.59,5.79,90,516.2,1926.85,270.11,123.72,122.37,516.20
"Zinger Burger,KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,KFC,Meat,Chicken,4,46.6,37.4,27.3,2.94,0,632.1,1167.6,264.65,212.40,155.04,632.10
"a.m. Hash Brown, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (57g),BreakfastSide,KFC,SideDish,Snacks,27,11,5,1,1.54,0,90.06,200.07,58.27,26.49,5.30,90.06
"a.m. Honey Biscuit, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),BreakfastSide,KFC,SideDish,Snacks,27,20,9,3.15,#N/A,4,171,333.9,106.38,47.87,16.75,171.00
"a.m. Platter, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (264g),Breakfast,KFC,SideDish,Snacks,27,41,29.59,29.04,#N/A,4.01,541.2,1153.68,222.72,160.74,157.75,541.20
"a.m. Twister (American), KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (195g),Breakfast,KFC,SideDish,Snacks,27,50.7,22.62,13.65,#N/A,0.1,460.2,1129.05,268.28,119.69,72.23,460.20
"a.m. Twister (Original Recipe), KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (195g),Breakfast,KFC,SideDish,Snacks,27,38.9,26.72,21.45,#N/A,0.2,483.6,1166.1,216.06,148.41,119.14,483.60
"a.m. Waffles & Eggs, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Breakfast,KFC,SideDish,Snacks,27,34,24.91,22.2,#N/A,0.08,449.4,882,188.38,138.02,123.00,449.40
"a.m. Waffles, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (110g),Breakfast,KFC,SideDish,Snacks,27,33.5,15.8,7.7,#N/A,0,308,600.6,181.02,85.38,41.61,308.00
"a.m. porridge, KFC",FAST FOODS,All fast food outlets in alphabetical order,Bowl-dessert (15 cm) (350g),Breakfast,KFC,SideDish,Snacks,27,30.8,5.99,10.89,#N/A,0,220.5,787.5,142.44,27.70,50.36,220.50
chicken feet noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (628g),Main,,SideDish,Soup,21,53.38,15.7,25.12,4.4,#N/A,452.16,1997.04,256.22,75.36,120.58,452.16
fish ball tang hoon soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (527g),Main,,SideDish,Soup,21,37.73,2.16,11.86,3.27,#N/A,217.65,2030.53,158.68,9.08,49.88,217.65
fried rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (309g),Main,,Meat,Rice,11,60.97,20.36,18.17,4.39,#N/A,499.65,1850.91,306.17,102.24,91.24,499.65
