Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
"Chicken Drumlets (6pc), Pizza Hut",FAST FOODS,All fast food outlets in alphabetical order,Piece (35g),Side,PizzaHut,Meat,Chicken,4,3.9,17.4,33.42,1.62,0.06,3.9,306.18,1111.32,21.82203947,97.35986842,186.9980921,306.18
"Chicken Sandwich, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (232g),Main,BurgerKing,Meat,Chicken,4,50.92,35.73,30.16,5.57,0.44,6.29,663.52,1067.2,289.2426881,202.9583905,171.3189213,663.52
"Chicken Tenders, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (78g),Side,BurgerKing,Meat,Chicken,4,11.79,13,13.26,1.79,#N/A,0.09,225.42,623.22,69.84761629,77.01603154,78.55635217,225.42
Chicken and Mushroom Bun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Piece (93g),Breakfast,,Meat,Chicken,4,29.11,9.88,10.23,1.67,170,7.16,246.45,372.93,145.7569992,49.47025599,51.22274482,246.45
Chicken and mushroom noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (653g),Main,,Meat,Chicken,4,43.75,6.53,28.73,4.57,#N/A,1.96,346.09,1782.69,191.6395077,28.60356537,125.846927,346.09
Chicken curry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (706g),Side,,Meat,Chicken,4,50.98,61.53,52.15,14.65,#N/A,14.06,966.87,1722.78,299.3503741,361.2991079,306.220518,966.87
Chicken curry noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (532g),Main,,Meat,Chicken,4,41.82,44.61,31.48,6.41,#N/A,0.59,694.52,2219.89,246.3304758,262.764288,185.4252362,694.52
Chicken katsu with japanese curry and rice,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (300g),Main,,Meat,Chicken,4,33.3,36,30,4.5,0.09,6.9,576,1569,193.1601208,208.8217523,174.0181269,576
Chicken macaroni soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (483g),Main,,Meat,Chicken,4,30.91,1.45,15.46,0.97,#N/A,-1,198.56,1709.82,128.3456629,6.020744458,64.19359264,198.56
"Chicken mushroom chowder, Pizza Hut (NNS)",FAST FOODS,All fast food outlets in alphabetical order,1 portion (240g),Side,PizzaHut,Meat,Chicken,4,13.68,10.56,7.2,3.36,#N/A,-1,192,813.6,83.54198473,64.48854962,43.96946565,192
"Chicken nuggets (6pc), McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Piece (17g),Side,McDonalds,Meat,Chicken,4,16.02,15,18.36,1.02,0.06,-1,331.5,530.4,107.5461725,100.6986634,123.255164,331.5
Chicken pau,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Whole (91g),Breakfast,,Meat,Chicken,4,22.75,10.19,8.1,1.37,#N/A,3.91,214.76,250.25,119.0494639,53.32369396,42.38684211,214.76
Chicken pie,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (93g),Breakfast,,Meat,Chicken,4,28.09,18.14,8.93,1.95,1.12,4.74,311.55,321.78,158.6555384,102.4567984,50.43766316,311.55
Chicken porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (510.8g),Main,,Meat,Chicken,4,20.94,5.62,11.75,0.01,#N/A,-1,181.33,1307.65,99.11381363,26.60074654,55.61543983,181.33
Chicken rendang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Plate-16cm (116g),Main,,Meat,Chicken,4,4.87,16.94,19.84,0.35,#N/A,-1,252.29,741.24,29.49945498,102.6120672,120.1784778,252.29
"Chicken, breast, KFC (hot and crispy)",FAST FOODS,All fast food outlets in alphabetical order,Piece (160g),Side,KFC,Meat,Chicken,4,12.38,24.2,27.66,1.6,0.07,0,355.26,666.85,68.46386675,133.8308219,152.9653113,355.26
"Chicken, breast, KFC (original recipe)",FAST FOODS,All fast food outlets in alphabetical order,Piece (178g),Side,KFC,Meat,Chicken,4,9.18,19.6,37.26,1.13,#N/A,0,346.64,761.31,48.18526953,102.8792247,195.5755058,346.64
"Chicken, colonel's crispy strips (5pc), KFC",FAST FOODS,All fast food outlets in alphabetical order,Gram (1g),Side,KFC,Meat,Chicken,4,0.95,0.95,0.95,0.05,0,0.4,16.15,43.25,5.383333333,5.383333333,5.383333333,16.15
"Chicken, drumstick, hot and crispy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (86g),Side,KFC,Meat,Chicken,4,5.92,12.8,13.59,0.2,0.02,0,167.81,246.62,30.74698855,66.47997524,70.58303621,167.81
"Chicken, thigh, hot and crispy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (142g),Side,KFC,Meat,Chicken,4,11.4,27.01,22.24,1.11,#N/A,0,347.15,522.57,65.25160758,154.6005194,127.297873,347.15
"Chicken, thigh, original recipe, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (128g),Side,KFC,Meat,Chicken,4,9.05,20.6,22.27,1.22,0.01,-1,286.2,467.71,49.88655624,113.5539291,122.7595146,286.2
"Chicken, wing, hot and crispy, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (58g),Side,KFC,Meat,Chicken,4,4.56,13.3,8.82,0,0.01,-1,144.58,205.85,24.71082459,72.07323838,47.79593703,144.58
"Chicken, wing, original recipe, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (53g),Side,KFC,Meat,Chicken,4,4.03,9.9,8.86,0,#N/A,-1,119.23,227.18,21.08367266,51.79363756,46.35268978,119.23
Chilli crab,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Plate-23cm (300g),Main,,Meat,Seafood,23,7.35,12.75,16.95,0.02,#N/A,-1,212.24,804,42.1042915,73.03805668,97.09765182,212.24
Chinese mutton soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (533g),Side,,Meat,Mutton,8,0,27.18,36.24,0,#N/A,0,389.09,1460.42,0,166.7528571,222.3371429,389.09
Chinese pear,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (169g),Side,,Drinks,Fruits/Juice,26,11.94,0.31,0.79,5.34,#N/A,8.91,53.34,6.29,48.84046012,1.268052147,3.23148773,53.34
Chinese rojak,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Plate-23cm (323g),Side,,SideDish,Dessert,24,63.85,21.48,16.29,6.84,#N/A,-1,517.58,914.32,325.2064849,109.4038418,82.96967329,517.58
Chinese style chicken and corn soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Vegetable based dishes,Bowl-soup (16 and 1/2 cm) (220g),Side,,Vegetables,Vegetables,13,8.71,5.5,5.79,0.75,#N/A,2.66,107.36,616.66,46.75528,29.524,31.08072,107.36
"Chocolate Chunk Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,SideDish,Snacks,27,30,10,1.8,1,#N/A,17,199.8,99.9,143.3971292,47.79904306,8.603827751,199.8
"Chocolate Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,SideDish,Snacks,27,30.02,10,1.8,1,#N/A,18,210.15,149.85,150.8537303,50.25107604,9.045193687,210.15
Chocolate Croissant,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (83g),Breakfast,,SideDish,Dessert,24,41.67,20.5,6.23,0.83,160,12.37,375.99,296.31,229.0570658,112.6870614,34.24587281,375.99
Chocolate Lava Cake,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",1 portion (128g),Side,,SideDish,Dessert,24,39.04,27.05,7.68,3.2,550,30.46,430.08,67.2,227.6036763,157.70183,44.7744937,430.08
Chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Hot Drinks,1,61.5,32.9,14.75,0.8,#N/A,54.75,587.8,167.8,331.1928539,177.1747137,79.43243243,587.8
Chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Hot Drinks,1,60.8,35.2,14.8,0.8,0.17,54.15,606.05,169,332.5617329,192.5357401,80.95252708,606.05
Chocolate cream roll,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Whole (65g),Breakfast,,Meat,Bread,10,32.18,4.68,5.59,1.69,#N/A,22.82,193.05,213.2,146.3450883,21.28325088,25.42166078,193.05
Chocolate eclair,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (50g),Side,,SideDish,Dessert,24,13.25,21.45,3.15,0.85,0.18,7.05,258,145.5,90.31704095,146.2113606,21.47159841,258
Chocolate milk bubble tea,BEVERAGES,Non-alcoholic beverages,Cup (484g),Drink,,Drinks,Cold Drinks,2,66.79,4.84,1.94,1.45,#N/A,34.36,319.44,19.36,290.0013266,21.01521816,8.423455213,319.44
Chrysanthemum tea,BEVERAGES,Non-alcoholic beverages,Bottle (500g),Drink,,Drinks,Cold Drinks,2,28.5,0,0,0,0,28.5,115,10.15,115,0,0,115
Chrysanthemum tea (reduced sugar),BEVERAGES,Non-alcoholic beverages,Packet (250g),Drink,,Drinks,Cold Drinks,2,16,0,0,0,#N/A,16,65.13,0,65.13,0,0,65.13
Citrus carbonated water,BEVERAGES,Non-alcoholic beverages,Can (120g),Drink,,Drinks,Cold Drinks,2,11.16,0,0,0,#N/A,11.16,43.63,18,43.63,0,0,43.63
"Clam chowder, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,Bowl-rice (11and 1/2 cm) (253g),Side,LongJohnSilver,Meat,Sandwich,18,23.28,6.83,9.61,20.49,#N/A,-1,193.04,834.9,113.1412689,33.19393756,46.70479355,193.04
Claypot chicken with dark soya sauce,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (120g),Main,,Meat,Chicken,4,1.24,7.85,14.1,1.42,#N/A,0.6,132,681.48,7.058214748,44.68305304,80.25873221,132
"Claypot noodles, with mixed vegetables","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (502g),Main,,Meat,Noodles,12,35.64,18.07,9.04,4.02,#N/A,3.51,341.36,1270.06,193.8816,98.3008,49.1776,341.36
"Claypot rice with salted fish,chicken and chinese sausages","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (350g),Main,,Meat,Chicken,4,54.6,21.7,28.35,3.5,#N/A,-1,527.1,1281,275.0086957,109.2983278,142.7929766,527.1
"Claypot rice, with mixed vegetable","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (407g),Main,,Vegetables,Vegetables,13,63.49,13.43,11.4,6.51,#N/A,4.07,419.21,1416.36,301.3546524,63.74536119,54.10998641,419.21
Coca Cola Coke,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,34.65,0,0,0,#N/A,34.65,132.63,36.3,132.63,0,0,132.63
Coca Cola Light,BEVERAGES,Non-alcoholic beverages,Can (330g),Drink,,Drinks,Cold Drinks,2,0.33,0,0.33,0,#N/A,0,3.3,19.8,1.65,0,1.65,3.3
Coconut water,BEVERAGES,Non-alcoholic beverages,Whole (250g),Drink,,Drinks,Cold Drinks,2,14,0,0,0,#N/A,14,54.97,2.5,54.97,0,0,54.97
Coffee and chocolate chip frappuccino,BEVERAGES,Non-alcoholic beverages,Cup (500g),Drink,,Drinks,Hot Drinks,1,41.95,23.45,11.75,0.45,#N/A,38,416.85,142.2,226.660499,126.7029488,63.48655217,416.85
Coffee and chocolate chip frappuccino with whipped cream,BEVERAGES,Non-alcoholic beverages,Mug (500g),Drink,,Drinks,Hot Drinks,1,41.25,28.85,11.95,0.45,#N/A,37.5,478,145.9,240.3107861,168.0719074,69.61730652,478
Coffee bun,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Piece (90g),Breakfast,,Meat,Bread,10,39.87,18.18,8.1,0.9,0.34,15.66,355.5,425.7,214.2673469,97.70204082,43.53061224,355.5
"Coleslaw, KFC",FAST FOODS,All fast food outlets in alphabetical order,Cup (80g),Side,KFC,Vegetables,Vegetables,13,7.7,7,1.6,1.6,0,7.62,98.4,39.2,46.48343558,42.25766871,9.658895706,98.4
Cooked brown rice beehoon,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-rice (11and 1/2 cm) (176g),Main,,Meat,Noodles,12,51.04,0,3.7,2.99,#N/A,2.29,218.24,14.26,203.4886664,0,14.75133358,218.24
"Corn Cup, 3Oz, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Cup (85g),Side,McDonalds,Vegetables,Vegetables,13,11,1,1.7,0,#N/A,-1,60.35,159.8,48.45620438,4.405109489,7.488686131,60.35
"Corn Cup, 4.5Oz, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Cup (128g),Side,McDonalds,Vegetables,Vegetables,13,16,2,2.56,0,#N/A,-1,89.6,240.64,69.72762646,8.715953307,11.15642023,89.6
Corn bread,CEREAL AND CEREAL PRODUCTS,Breads and rolls,Slice (40g),Breakfast,,Meat,Bread,10,18.6,0.88,3.8,0.88,#N/A,-1,94,128.8,75.10309278,3.553264605,15.34364261,94
Crayfish hor fun,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (602g),Main,,Meat,Cereal,20,70.11,17.73,12.18,7.43,#N/A,2.46,488.4,1467.5,342.3487702,86.5760048,59.47522496,488.4
Crayfish pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Plate-23cm (562g),Main,,Meat,Noodles,12,73.06,36.14,31.47,6.74,60,16.3,741.84,1641.04,385.2906121,190.5885946,165.9607933,741.84
Cream of mushroom soup,VEGETABLE AND VEGETABLE PRODUCTS,"Vegetables, non-leafy (eg sweetcorn, beansprouts)",Bowl-soup (16 and 1/2 cm) (244g),Side,,Vegetables,Vegetables,13,7.81,4.95,2.93,0.98,70,2.44,87.84,622.2,43.72405354,27.7124283,16.40351816,87.84
Cream puff,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Piece (34g),Side,,SideDish,Dessert,24,7.67,8.45,1.96,0.57,0.07,2.33,114.55,59.6,48.59504978,53.53691925,12.41803097,114.55
Creamy mushroom pasta,CEREAL AND CEREAL PRODUCTS,Pasta and noodles and 'dough wrappers',Bowl-soup (16 and 1/2 cm) (442g),Main,,Meat,Noodles,12,56.58,32.93,18.56,7.07,840,5.75,596.7,866.32,312.4020172,181.8204034,102.4775793,596.7
Cultured milk drink,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Bottle (131g),Drink,,Drinks,Milk,16,21.09,0.26,0.79,0,#N/A,17.42,89.08,18.34,84.85533875,1.046106594,3.178554652,89.08
"Cultured milk drink, reduced sugar",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Dairy products,Bottle (65g),Drink,,Drinks,Milk,16,6.24,0.07,0.91,0.13,0,6.24,28.6,22.1,24.71800554,0.277285319,3.604709141,28.6
"Curry chicken with potato, skin removed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-rice (11and 1/2 cm) (220g),Side,,Meat,Chicken,4,10.06,15.36,18.15,3.54,#N/A,1.59,251.13,507.63,57.98411292,88.53240303,104.613484,251.13
Curry fish head,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (1320.5g),Side,,Meat,Fish,3,41.53,77.45,77.45,15.71,#N/A,-1,1183.06,4074.4,250.1271791,466.4664104,466.4664104,1183.06
Deep fried fish bee hoon soup with milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Fish and seafood based dishes,Bowl-soup (16 and 1/2 cm) (800g),Main,,Meat,Fish,3,66.23,19.87,46.31,1.62,#N/A,8.67,641.52,2707.91,320.8811238,96.26918209,224.3696941,641.52
"Double Cheeseburger, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Whole (225g),Main,BurgerKing,Meat,Sandwich,18,45.9,28.58,29.25,1.8,#N/A,-1,564.75,1039.5,249.8990167,155.6016099,159.2493734,564.75
"Double Cheeseburger, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (163g),Main,McDonalds,Meat,Sandwich,18,33.01,22.01,24.45,3.99,1.4,7.6,433.58,1080.69,180.0991041,120.0842557,133.3966402,433.58
"Double Chocolate Chip Cookies, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,Subway,Meat,Sandwich,18,30,10,1.8,1,0.77,20,210.15,170.1,150.8253589,50.27511962,9.049521531,210.15
"Double Quarter Pounder with Cheese, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (280g),Main,McDonalds,Meat,Sandwich,18,38,47.99,53.2,8.99,#N/A,9.77,812,1178.8,221.6825921,279.9617789,310.355629,812
Dragonfruit,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (300g),Side,,Drinks,Fruits/Juice,26,22.9,0.22,2.81,5.83,0,14.26,105.84,25.92,93.4722715,0.897986888,11.46974161,105.84
"Drumstick, original recipe, KFC",FAST FOODS,All fast food outlets in alphabetical order,Piece (63g),Side,KFC,Meat,Chicken,4,1.34,8.5,12.94,#N/A,#N/A,-1,117.95,202.07,6.938235294,44.01119403,67.00057068,117.95
Dry chicken and mushroom noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (397g),Main,,Meat,Noodles,12,50.42,14.69,26.6,6.75,0,1.59,440.67,1699.16,242.2699967,70.58600262,127.8140007,440.67
Dry chicken feet noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (409g),Main,,Meat,Noodles,12,64.62,16.36,20.04,6.14,#N/A,15.95,486.71,1787.33,311.336371,78.82177391,96.55185508,486.71
Dry minced pork and mushroom noodles,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (311g),Main,,Meat,Noodles,12,56.98,22.7,19.62,4.85,#N/A,2.36,510.66,1490.62,293.0252447,116.7369789,100.8977764,510.66
Duck noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (539g),Main,,Meat,Duck,7,61.99,18.87,22.1,3.23,#N/A,0,506.66,1961.96,305.0490812,92.85814103,108.7527778,506.66
Duck porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (573g),Main,,Meat,Duck,7,53.29,17.19,56.73,4.58,#N/A,0,595.92,1272.06,249.6389969,80.52719755,265.7538055,595.92
"Duck rice, with skin removed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (350g),Main,,Meat,Duck,7,83.6,10.96,24.28,3.39,#N/A,1.58,530.02,325.55,372.8514978,48.88100976,108.2874924,530.02
Duck soup with kiam chye,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-rice (11and 1/2 cm) (487g),Side,,Meat,Duck,7,1.27,5.06,20.41,2.58,#N/A,1.27,132.46,1476.1,6.291106956,25.06535527,101.1035378,132.46
Duck with salted vegetable soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (439.4g),Side,,Meat,Duck,7,0.79,8.7,23.73,0.4,#N/A,-1,178.64,1842.84,4.248211921,46.78410596,127.6076821,178.64
"Duck, with ginger, chinese mushroom, lettuce, stewed","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Meat based dishes,Bowl-soup (16 and 1/2 cm) (208.53g),Side,,Meat,Duck,7,1.92,24.89,21.53,1.87,#N/A,0.95,317.77,517.68,12.62139843,163.6180244,141.5305772,317.77
Durian ice kacang,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE","Local cakes, desserts and snacks",Bowl-dessert (15 cm) (450g),Side,,SideDish,Dessert,24,49.95,5.4,5.85,14.85,#N/A,36.45,274.5,108,224.0404412,24.22058824,26.23897059,274.5
Economic fried bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (199g),Main,,Meat,Noodles,12,45.77,4.98,5.57,3.58,#N/A,0.8,250.18,819.88,203.3156712,22.12174006,24.74258878,250.18
Economic fried kway teow,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-16cm (200g),Main,,Meat,Noodles,12,50.4,5.8,6.6,1.6,#N/A,5.6,278,1062,223.1082803,25.67515924,29.21656051,278
Ee mee noodles with tofu and mixed vegetables,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (500g),Main,,Meat,Noodles,12,41.5,25.5,18,3,#N/A,4.5,470,1140,229.4705882,141,99.52941176,470
"Egg McMuffin, McDonalds'",FAST FOODS,All fast food outlets in alphabetical order,Whole (137g),Breakfast,McDonalds,Meat,Egg,9,26,13,17.81,2,0.04,-1,290.44,720.62,132.9244851,66.46224256,91.05327231,290.44
"Egg tart, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (45g),Side,KFC,Meat,Egg,9,14.6,10.8,2.7,#N/A,0.23,-1,166.05,32.4,86.27508897,63.81992883,15.95498221,166.05
Eggs benedict,EGG AND EGG PRODUCTS,Hen eggs,Plate-23cm (291g),Breakfast,,Meat,Egg,9,24.44,49.38,31.72,4.07,170,4.66,669.3,1015.59,154.9904491,313.1517339,201.1578169,669.3
Espresso,BEVERAGES,Non-alcoholic beverages,1 portion (30g),Drink,,Drinks,Hot Drinks,1,0,0.05,0.04,0,#N/A,0,0.6,4.2,0,0.333333333,0.266666667,0.6
"Filet-o-fish, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Whole (136g),Main,McDonalds,Meat,Fish,3,40,15,13.6,2,0.07,4.49,350.88,670.48,204.5947522,76.72303207,69.56221574,350.88
"Fillet Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (135g),Main,KFC,Meat,Fish,3,30.29,17.4,17.55,1.89,0,-1,349.65,716.85,162.3375,93.25429185,94.05820815,349.65
"Fish Zinger Burger, KFC",FAST FOODS,All fast food outlets in alphabetical order,Whole (198g),Main,KFC,Meat,Fish,3,41.38,30.29,28.51,1.98,#N/A,0,552.42,1199.88,228.1806708,167.0273687,157.2119605,552.42
"Fish and chicken dinner, Long John Silver's",FAST FOODS,All fast food outlets in alphabetical order,Plate-23cm (110g),Main,LongJohnSilver,Meat,Fish,3,17.49,13.2,8.58,0.88,#N/A,-1,224.26,496.1,99.8805042,75.38151261,48.99798319,224.26
"Fish ball mee pok, dry","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Plate-23cm (450g),Main,,Meat,Fish,3,60.3,13.5,31.05,4.95,0.05,9.45,481.5,2551.5,276.9141631,61.99570815,142.5901288,481.5
Fish ball noodles dry,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (420g),Main,,Meat,Fish,3,70.56,10.5,24.78,5.04,#N/A,-1,474.6,2112.6,316.4,47.08333333,111.1166667,474.6
Fish ball noodles soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (775g),Main,,Meat,Fish,3,73.86,10.77,32.63,2.48,#N/A,6.74,523.51,3802.15,329.7496896,48.08291574,145.6773947,523.51
Fish bee hoon without milk,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (651g),Main,,Meat,Fish,3,45.44,7.23,21.16,3.19,#N/A,-1,331.36,1341.06,203.9414655,32.44931329,94.96922118,331.36
Fish head ban mian soup,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (858g),Main,,Meat,Fish,3,81.54,29.65,60.79,12.03,#N/A,6.84,833.56,2550.11,395.2115502,143.7088848,294.6395651,833.56
Fish head bee hoon,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (557g),Main,,Meat,Fish,3,48.63,24.51,24.51,1.28,#N/A,7.07,511.83,691.79,254.8929124,128.4685438,128.4685438,511.83
Fish porridge,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Cereal based dishes,Bowl-soup (16 and 1/2 cm) (559g),Main,,Meat,Fish,3,32.42,2.8,13.98,0.01,#N/A,-1,210.74,1347.19,138.8656667,11.99333333,59.881,210.74
"Large French fries, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (140g),Side,McDonalds,SideDish,Snacks,27,55.01,21.99,5.6,5,0.07,0,441,350,293.6974576,117.4042373,29.89830508,441
"Large French fries, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (144g),Side,BurgerKing,SideDish,Snacks,27,53.54,25.06,5.76,4.18,4.64,0.99,476.64,419.04,302.504808,141.5907824,32.54440967,476.64
"Medium French fries, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (116g),Side,McDonalds,SideDish,Snacks,27,47,19,3.48,4,#N/A,0.23,373.52,290,252.6689695,102.1427749,18.70825561,373.52
"Medium French fries, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (103g),Side,BurgerKing,SideDish,Snacks,27,38.3,17.92,4.12,2.99,0.07,0.71,340.93,311.06,216.4007126,101.2506729,23.27861452,340.93
"Regular French fries, KFC",FAST FOODS,All fast food outlets in alphabetical order,Packet (85g),Side,KFC,SideDish,Snacks,27,32.5,14.6,3.4,3.74,0.06,0.65,273.7,62.05,176.1435644,79.12910891,18.42732673,273.7
"Small French fries, McDonald's",FAST FOODS,All fast food outlets in alphabetical order,Packet (70g),Side,McDonalds,SideDish,Snacks,27,30,12,2.8,2,0.04,0.7,238.7,189.7,159.84375,63.9375,14.91875,238.7
"Small French fries, Burger King",FAST FOODS,All fast food outlets in alphabetical order,Packet (63g),Side,BurgerKing,SideDish,Snacks,27,23.42,10.96,2.52,1.83,2.03,0.43,208.53,198.45,132.351561,61.93736585,14.24107317,208.53
Fresh apple juice,BEVERAGES,Non-alcoholic beverages,Cup (401g),Drink,,Drinks,Fruits/Juice,26,20.05,0,1.2,0.4,0,20.05,84.21,17.88,79.45461176,0,4.755388235,84.21
Fresh orange juice,BEVERAGES,Non-alcoholic beverages,Cup (408g),Drink,,Drinks,Fruits/Juice,26,13.87,0,0.82,0,0,13.87,57.12,6.9,53.93154527,0,3.188454731,57.12
